,company_name,location,notice_date
185,"Goldman, Sachs & Co., LLC",New York City,1/17/2023
186,"Goldman, Sachs & Co., LLC",New York City,1/17/2023
187,"Specialized Bicycle Components, Inc.",New York City,1/13/2023
188,Gannett (Rochester Democrat & Chronicle),Finger Lakes,1/11/2023
189,"Williamsburg Northside School, LLC",New York City,1/10/2023
190,"Housing Works, Inc.",New York City,1/5/2023
191,Reverse Mortgage Funding LLC,Mid-Hudson,1/5/2023
192,The New Jewish Home,New York City,1/4/2023
193,"Dyopath, LLC",Long Island,1/4/2023
194,"Wells Enterprises, Inc. (Dunkirk Ice Cream Plant)",Western,12/28/2022
195,GF's Fab 8 - Malta Site (@ Global Foundries),Capital,12/23/2022
196,GF's Fab 10 - East Fishkill Site (@ Global Foundries),Mid-Hudson,12/23/2022
197,"Hu-Friedy Mfg., Co., LLC d/b/a HuFriedyGroup (formerly Crosstex International, Inc)",Western,12/23/2022
198,Athenex Pharma Solutions,Western,12/23/2022
199,Reverse Mortgage Funding LLC,Long Island,12/23/2022
200,Voyant Beauty LLC,Central,12/22/2022
201,Humana at Home Inc. d/b/a SeniorBridge,New York City / Long Island / Mid-Hudson,12/22/2022
202,Convene Operations LLC,Mid-Hudson,12/20/2022
203,Specialty Welding and Fabricating of New York Inc.,Central,12/19/2022
204,Get Heal Inc. & Heal Doctors P.C. with Humana at Home Inc.,New York City,12/19/2022
205,"Housing Works, Inc.",New York City,12/19/2022
206,Lehigh Cement Company LLC,Capital,12/16/2022
207,"RUME Health, LLC",New York City,12/14/2022
208,Medly Health Inc. (Headquarters & Pharmacy),New York City,12/13/2022
209,Reverse Mortgage Funding LLC,Long Island,12/9/2022
210,IEH Auto Parts LLC d/b/a Auto Plus,Mid-Hudson,12/9/2022
211,Cayuga Home for Children d/b/a Cayuga Centers,New York City,12/8/2022
212,"Freshly, Inc.",New York City,12/7/2022
213,"ReOpen Diagnostics, LLC d/b/a Pandemic Response Lab",New York City,12/5/2022
